[1788504553.192] [ROTATE_DONE] Pose(map): (0.352, -0.463, 97.865°) | IMU_Yaw: -94.596° | ArucoLock: YES (ID: 2) | In-place 90 deg rotation completed stably.
[1788504553.229] [STEP_START] Pose(map): (0.353, -0.462, 97.802°) | IMU_Yaw: -94.596° | ArucoLock: YES (ID: 2) | Starting Step 3/7: Verify Marker 2 in view
[1788504553.258] [MARKER_LOCKED] Pose(map): (0.353, -0.462, 97.791°) | IMU_Yaw: -94.596° | ArucoLock: YES (ID: 2) | Successfully verified ArUco marker 2
[1788504553.286] [STEP_START] Pose(map): (0.353, -0.462, 97.791°) | IMU_Yaw: -94.596° | ArucoLock: YES (ID: 2) | Starting Step 4/7: Drive straight to Marker 4 (vertical hallway via 2, 3)
[1788504567.343] [NAV_PROXIMITY_ARRIVED] Pose(map): (-0.037, 2.159, 90.275°) | IMU_Yaw: -96.196° | ArucoLock: YES (ID: 4) | Arrived near waypoint (dist=0.343428m, elapsed=14.057015s). Advancing to next step.
[1788504567.380] [STEP_START] Pose(map): (-0.037, 2.170, 90.030°) | IMU_Yaw: -96.196° | ArucoLock: YES (ID: 4) | Starting Step 5/7: In-place turn 90 deg at Marker 4 (facing Marker 5)
[1788504567.410] [ROTATE_INIT] Pose(map): (-0.037, 2.171, 89.982°) | IMU_Yaw: -96.196° | ArucoLock: YES (ID: 4) | Target IMU Yaw: 173.804° (Delta: -90°)
[1788504573.293] [ROTATE_DONE] Pose(map): (0.032, 2.150, 6.240°) | IMU_Yaw: 175.797° | ArucoLock: YES (ID: 5) | In-place 90 deg rotation completed stably.
[1788504573.349] [STEP_START] Pose(map): (0.033, 2.149, 6.276°) | IMU_Yaw: 175.797° | ArucoLock: YES (ID: 5) | Starting Step 6/7: Verify Marker 5 in view
[1788504573.381] [MARKER_LOCKED] Pose(map): (0.033, 2.149, 6.276°) | IMU_Yaw: 175.797° | ArucoLock: YES (ID: 5) | Successfully verified ArUco marker 5
[1788504573.406] [STEP_START] Pose(map): (0.033, 2.149, 6.276°) | IMU_Yaw: 175.797° | ArucoLock: YES (ID: 5) | Starting Step 7/7: Drive straight to Marker 5 (top hallway)
[1788504577.393] [NAV_PROXIMITY_ARRIVED] Pose(map): (0.722, 2.299, 25.847°) | IMU_Yaw: -166.495° | ArucoLock: YES (ID: 5) | Arrived near waypoint (dist=0.343354m, elapsed=3.987398s). Advancing to next step.
[1788504577.442] [ROUTE_COMPLETE] Pose(map): (0.728, 2.302, 26.190°) | IMU_Yaw: -166.495° | ArucoLock: YES (ID: 5) | Corridor navigation completed successfully!
